Indicator,Year,Value,Unit,Confidence,RawText,DisplayValue,Source,Method,CanonicalIndicator,Category,Canonical Name,Indicator Name,FileRef,page_content,SourceURL
Current Account Balance,2023,2022.0,,85,"This page in: English This page in: English PRESS RELEASE March 30, 2023 Tunisia: Reforming Energy Subsidies to Enhance Economic Resilience TUNIS, March 30, 2023 – Tunisia's economic recovery slowed in 2022 while the current account and fiscal deficit rose amid mounting global energy and food prices and more working-age people stayed out of the labor market amid diminishing job prospects, according to the World Bank's Spring edition 2023 of the Tunisia Economic Monitor.","2,022",worldbank.org,Alias,Current Account Balance,Trade,Current Account Balance,Current Account Balance,,,
Gross Domestic Product (gdp) At Market Prices,2022,2.5,%,100,"The report acknowledges Tunisia's significant potential but notes that the country's post-COVID economic recovery continued to be moderate (real GDP grew by 2.5 percent in 2022) due to the current pace of economic reforms, resulting in regulatory barriers to growth.",2.5 %,worldbank.org,Alias,Gross Domestic Product (gdp) At Market Prices,National Accounts,Gross Domestic Product (gdp) At Market Prices,Gross Domestic Product (gdp) At Market Prices,,,
Current Account Balance,2022,10.2,%,100,"This increased the trade deficit from 10.2 percent of GDP to 15 percent of GDP in 2022, with energy and food accounting for 69 percent of the deficit.",10.2 %,worldbank.org,Alias,Current Account Balance,Trade,Current Account Balance,Current Account Balance,,,
Current Account Balance,2022,15.0,%,100,"This increased the trade deficit from 10.2 percent of GDP to 15 percent of GDP in 2022, with energy and food accounting for 69 percent of the deficit.",15.0 %,worldbank.org,Alias,Current Account Balance,Trade,Current Account Balance,Current Account Balance,,,
Current Account Balance,2022,69.0,%,100,"This increased the trade deficit from 10.2 percent of GDP to 15 percent of GDP in 2022, with energy and food accounting for 69 percent of the deficit.",69.0 %,worldbank.org,Alias,Current Account Balance,Trade,Current Account Balance,Current Account Balance,,,
Gross Domestic Product (gdp) At Market Prices,2023,1.2,%,100,"Despite some encouraging developments, including improvements in trade terms and a resurgence of tourism, Tunisia’s GDP growth for 2023 was forecast to be around 1.2 percent, a modest recovery when compared to counterparts in the region and half the growth rate of 2022.",1.2 %,worldbank.org,Alias,Gross Domestic Product (gdp) At Market Prices,National Accounts,Gross Domestic Product (gdp) At Market Prices,Gross Domestic Product (gdp) At Market Prices,,,
Current Account Balance,2023,47.0,%,100,"Tourism receipts increased by 47 percent as of the end of August 2023, which along with transport services contributed 0.8 percentage points to overall GDP growth and helped to alleviate the current account deficit. """,47.0 %,worldbank.org,Alias,Current Account Balance,Trade,Current Account Balance,Current Account Balance,,,
Unemployment Rate,2023,15.6,%,100,"The first part of the report addresses economic challenges in Tunisia, where a prolonged drought in the agricultural sector has led to limited growth and a slight increase in unemployment to 15.6 percent in Q2 2023, up from 15.3 percent a year ago.",15.6 %,worldbank.org,Alias,Unemployment Rate,Employment,Unemployment Rate,Unemployment Rate,,,
Current Account Balance,2022,4.1,%,100,"Driven by the reduction in the trade deficit, the current account deficit decreased from TD 7.0 billion (4.1 percent of GDP) in the first half of 2022 to TD 2.7 billion (1.5 percent of GDP) in the same period of 2023.",4.1 %,worldbank.org,Alias,Current Account Balance,Trade,Current Account Balance,Current Account Balance,,,
Current Account Balance,2022,1.5,%,100,"Driven by the reduction in the trade deficit, the current account deficit decreased from TD 7.0 billion (4.1 percent of GDP) in the first half of 2022 to TD 2.7 billion (1.5 percent of GDP) in the same period of 2023.",1.5 %,worldbank.org,Alias,Current Account Balance,Trade,Current Account Balance,Current Account Balance,,,
Current Account Balance,2022,2023.0,,85,"On the positive side the trade deficit fell from 17.5 percent of GDP in 2022 to 10.8 percent in 2023, with the current account deficit also narrowing from 8.6 percent to 2.6 percent of GDP over the same period.","2,023",worldbank.org,Alias,Current Account Balance,Trade,Current Account Balance,Current Account Balance,,,
Public Debt (% Of Gdp),2017,66.9,%,100,"That reflects the high public debt, which rose from 66.9 percent to 79.4 percent of GDP between 2017 and 2022.",66.9 %,worldbank.org,Alias,Public Debt (% Of Gdp),National Accounts,Public Debt (% Of Gdp),Public Debt (% Of Gdp),,,
Gross Domestic Product (gdp) At Market Prices,2017,79.4,%,100,"That reflects the high public debt, which rose from 66.9 percent to 79.4 percent of GDP between 2017 and 2022.",79.4 %,worldbank.org,Alias,Gross Domestic Product (gdp) At Market Prices,National Accounts,Gross Domestic Product (gdp) At Market Prices,Gross Domestic Product (gdp) At Market Prices,,,
Inflation,2023,9.0,%,100,"Inflation, meanwhile, has slowed, with year-on-year price inflation decreasing from 10.4 percent in February 2023 to 9.0 percent in September 2023.",9.0 %,worldbank.org,Alias,Inflation,Prices,Inflation,Inflation,,,
Gross Domestic Product (gdp) At Market Prices,2021,6.6,%,100,"In return to increased emigration, remittance inflows have grown, equivalent to 6.6 percent of GDP in 2021-22, alongside the transfer of valuable skills and capital.",6.6 %,worldbank.org,Alias,Gross Domestic Product (gdp) At Market Prices,National Accounts,Gross Domestic Product (gdp) At Market Prices,Gross Domestic Product (gdp) At Market Prices,,,
Gross Domestic Product (gdp) At Market Prices,2030,8.8,%,100,"The report says combined adaptation and mitigation measures to address climate change and decarbonize the electricity sector could boost GDP growth to 8.8 percent by 2030, reduce poverty and slash energy-related emissions.",8.8 %,worldbank.org,Alias,Gross Domestic Product (gdp) At Market Prices,National Accounts,Gross Domestic Product (gdp) At Market Prices,Gross Domestic Product (gdp) At Market Prices,,,
Gross Domestic Product (gdp) At Market Prices,2030,3.4,%,100,"On the flip side, failure to act could result in GDP losses of up 3.4% by 2030, leading to projected annual losses of around 5.6 billion dinars ($1.8 billion).",3.4 %,worldbank.org,Alias,Gross Domestic Product (gdp) At Market Prices,National Accounts,Gross Domestic Product (gdp) At Market Prices,Gross Domestic Product (gdp) At Market Prices,,,
Current Account Balance,2022,53.0,%,100,"Energy accounted for 53% of the country's trade deficit and 58% of its greenhouse gas emissions in 2022, which highlights the complex links between energy and the macro-fiscal framework.",53.0 %,worldbank.org,Alias,Current Account Balance,Trade,Current Account Balance,Current Account Balance,,,
Current Account Balance,2022,58.0,%,100,"Energy accounted for 53% of the country's trade deficit and 58% of its greenhouse gas emissions in 2022, which highlights the complex links between energy and the macro-fiscal framework.",58.0 %,worldbank.org,Alias,Current Account Balance,Trade,Current Account Balance,Current Account Balance,,,
Unemployment Rate,2023,16.4,%,100,"This has led to a rise in unemployment, which reached 16.4 percent in the fourth quarter of 2023, and a drop in labor force participation.",16.4 %,worldbank.org,Alias,Unemployment Rate,Employment,Unemployment Rate,Unemployment Rate,,,
Current Account Balance,2022,17.5,%,100,"On the positive side the trade deficit fell from 17.5 percent of GDP in 2022 to 10.8 percent in 2023, with the current account deficit also narrowing from 8.6 percent to 2.6 percent of GDP over the same period.",17.5 %,worldbank.org,Alias,Current Account Balance,Trade,Current Account Balance,Current Account Balance,,,
Current Account Balance,2022,10.8,%,100,"On the positive side the trade deficit fell from 17.5 percent of GDP in 2022 to 10.8 percent in 2023, with the current account deficit also narrowing from 8.6 percent to 2.6 percent of GDP over the same period.",10.8 %,worldbank.org,Alias,Current Account Balance,Trade,Current Account Balance,Current Account Balance,,,
Merchandise Imports (current Usd),2026,17.0,%,100,"The government plans to add another 1,700 megawatts awarded by 2026, aiming for renewables to constitute 17% of the electricity mix and save 1 million tons of oil equivalent in gas imports—about 30% of total gas imports in 2023.",17.0 %,worldbank.org,Alias,Merchandise Imports (current Usd),Trade,Merchandise Imports (current Usd),Merchandise Imports (current Usd),,,
Current Account Balance,2024,3.4,%,100,"The trade deficit narrowed by 3.4% in the first nine months of 2024 compared to the previous year, and it now accounts for 7.8% of GDP, down from 8.8% in 2023.",3.4 %,worldbank.org,Alias,Current Account Balance,Trade,Current Account Balance,Current Account Balance,,,
Inflation,2024,6.7,%,100,"Inflation fell to 6.7% in September 2024, marking its lowest level since January 2022, although food inflation remains at 9.2%.",6.7 %,worldbank.org,Alias,Inflation,Prices,Inflation,Inflation,,,
Inflation,2024,9.2,%,100,"Inflation fell to 6.7% in September 2024, marking its lowest level since January 2022, although food inflation remains at 9.2%.",9.2 %,worldbank.org,Alias,Inflation,Prices,Inflation,Inflation,,,
Public Debt (% Of Gdp),2019,29.7,%,100,"Tunisia is increasingly turning to domestic financing sources, with domestic debt rising from 29.7% of total public debt in 2019 to 51.7% by August 2024.",29.7 %,worldbank.org,Alias,Public Debt (% Of Gdp),National Accounts,Public Debt (% Of Gdp),Public Debt (% Of Gdp),,,
Inflation,2025,5.6,%,100,"Inflation continued decelerating in early 2025, falling to 5.6 percent in April — the lowest level since 2021 and nearing pre-pandemic averages.",5.6 %,worldbank.org,Alias,Inflation,Prices,Inflation,Inflation,,,
Current Account Balance,2024,1.7,%,100,"Tunisia’s current account deficit narrowed to 1.7 percent of GDP in 2024, supported by improving terms of trade and resilient tourism receipts.",1.7 %,worldbank.org,Alias,Current Account Balance,Trade,Current Account Balance,Current Account Balance,,,
Current Account Balance,2024,5.8,%,100,"On the fiscal front, the deficit declined to 5.8 percent of GDP in 2024, aided by contained public spending and stable subsidy levels.",5.8 %,worldbank.org,Alias,Current Account Balance,Trade,Current Account Balance,Current Account Balance,,,
Merchandise Imports (current Usd),2022,48.0,%,100,"Once a net exporter of oil and gas, Tunisia has become heavily dependent on oil and gas imports to meet its energy needs, with approximately 48% of its needs imported in 2022.",48.0 %,worldbank.org,Alias,Merchandise Imports (current Usd),Trade,Merchandise Imports (current Usd),Merchandise Imports (current Usd),,,
Public Debt (% Of Gdp),2022,79.8,%,100,"Public debt stood at 79.8 percent of GDP in 2022, compared to 40.7 percent in 2010, and the debt servicing cost reached 3 percent of GDP in the first half of 2023.",79.8 %,worldbank.org,Alias,Public Debt (% Of Gdp),National Accounts,Public Debt (% Of Gdp),Public Debt (% Of Gdp),,,
Current Account Balance,2023,53.4,%,100,"In the first 8 months of 2023, the energy trade balance accounted for 53.4 percent of the merchandise trade deficit, which equaled 7.5 percent of GDP in the first eight months of 2023.",53.4 %,worldbank.org,Alias,Current Account Balance,Trade,Current Account Balance,Current Account Balance,,,
Unemployment Rate,2024,16.2,%,100,"The unemployment rate in Tunisia reached 16.2% in the first quarter of 2024 , with 22% for women and 39.2% for youth.",16.2 %,worldbank.org,Alias,Unemployment Rate,Employment,Unemployment Rate,Unemployment Rate,,,
Unemployment Rate,2024,22.0,%,100,"The unemployment rate in Tunisia reached 16.2% in the first quarter of 2024 , with 22% for women and 39.2% for youth.",22.0 %,worldbank.org,Alias,Unemployment Rate,Employment,Unemployment Rate,Unemployment Rate,,,
Inflation,2022,16.8,%,100,"POPULATION:  11.9 million GDP (PPP):  $154.3 billion 2.5% growth in 2022 5-year average growth  rate: 0.5% $12,723 per capita UNEMPLOYMENT:  16.8% INFLATION (CPI):  8.3% FDI INFLOW:  $713.0 million PUBLIC DEBT:  79.8% of GDP 365 The Heritage Foundation | heritage.org/Index RULE OF LAW REGULATORY EFFICIENCY Property  Rights Judicial  Eﬀectiveness Government  Integrity Tax Burden Government  Spending Fiscal Health GOVERNMENT SIZE OPEN MARKETS Business  Freedom Labor Freedom Monetary  Freedom Trade Freedom Investment  Freedom Financial  Freedom 80 60 70 100 50 0 80 60 70 100 50 0 80 60 70 100 50 0 80 60 70 100 50 0 30.0 30.0 53.2 72.7 55.9 52.9 7.3 64.7 74.9 42.4 40.5 60.8",16.8 %,2024,Alias,Inflation,Prices,Inflation,Inflation,,,
Population,2022,11.9,,85,"POPULATION:  11.9 million GDP (PPP):  $154.3 billion 2.5% growth in 2022 5-year average growth  rate: 0.5% $12,723 per capita UNEMPLOYMENT:  16.8% INFLATION (CPI):  8.3% FDI INFLOW:  $713.0 million PUBLIC DEBT:  79.8% of GDP 365 The Heritage Foundation | heritage.org/Index RULE OF LAW REGULATORY EFFICIENCY Property  Rights Judicial  Eﬀectiveness Government  Integrity Tax Burden Government  Spending Fiscal Health GOVERNMENT SIZE OPEN MARKETS Business  Freedom Labor Freedom Monetary  Freedom Trade Freedom Investment  Freedom Financial  Freedom 80 60 70 100 50 0 80 60 70 100 50 0 80 60 70 100 50 0 80 60 70 100 50 0 30.0 30.0 53.2 72.7 55.9 52.9 7.3 64.7 74.9 42.4 40.5 60.8",12,2024,Alias,Population,Demographics,Population,Population,,,
Public Administration,2022,2.5,%,100,"POPULATION:  11.9 million GDP (PPP):  $154.3 billion 2.5% growth in 2022 5-year average growth  rate: 0.5% $12,723 per capita UNEMPLOYMENT:  16.8% INFLATION (CPI):  8.3% FDI INFLOW:  $713.0 million PUBLIC DEBT:  79.8% of GDP 365 The Heritage Foundation | heritage.org/Index RULE OF LAW REGULATORY EFFICIENCY Property  Rights Judicial  Eﬀectiveness Government  Integrity Tax Burden Government  Spending Fiscal Health GOVERNMENT SIZE OPEN MARKETS Business  Freedom Labor Freedom Monetary  Freedom Trade Freedom Investment  Freedom Financial  Freedom 80 60 70 100 50 0 80 60 70 100 50 0 80 60 70 100 50 0 80 60 70 100 50 0 30.0 30.0 53.2 72.7 55.9 52.9 7.3 64.7 74.9 42.4 40.5 60.8",2.5 %,2024,Alias,Public Administration,Finance,Public Administration,Public Administration,,,
Unemployment Rate,2022,0.5,%,100,"POPULATION:  11.9 million GDP (PPP):  $154.3 billion 2.5% growth in 2022 5-year average growth  rate: 0.5% $12,723 per capita UNEMPLOYMENT:  16.8% INFLATION (CPI):  8.3% FDI INFLOW:  $713.0 million PUBLIC DEBT:  79.8% of GDP 365 The Heritage Foundation | heritage.org/Index RULE OF LAW REGULATORY EFFICIENCY Property  Rights Judicial  Eﬀectiveness Government  Integrity Tax Burden Government  Spending Fiscal Health GOVERNMENT SIZE OPEN MARKETS Business  Freedom Labor Freedom Monetary  Freedom Trade Freedom Investment  Freedom Financial  Freedom 80 60 70 100 50 0 80 60 70 100 50 0 80 60 70 100 50 0 80 60 70 100 50 0 30.0 30.0 53.2 72.7 55.9 52.9 7.3 64.7 74.9 42.4 40.5 60.8",0.5 %,2024,Alias,Unemployment Rate,Employment,Unemployment Rate,Unemployment Rate,,,
Gross Domestic Product (gdp) At Market Prices,2022,8.3,%,100,"POPULATION:  11.9 million GDP (PPP):  $154.3 billion 2.5% growth in 2022 5-year average growth  rate: 0.5% $12,723 per capita UNEMPLOYMENT:  16.8% INFLATION (CPI):  8.3% FDI INFLOW:  $713.0 million PUBLIC DEBT:  79.8% of GDP 365 The Heritage Foundation | heritage.org/Index RULE OF LAW REGULATORY EFFICIENCY Property  Rights Judicial  Eﬀectiveness Government  Integrity Tax Burden Government  Spending Fiscal Health GOVERNMENT SIZE OPEN MARKETS Business  Freedom Labor Freedom Monetary  Freedom Trade Freedom Investment  Freedom Financial  Freedom 80 60 70 100 50 0 80 60 70 100 50 0 80 60 70 100 50 0 80 60 70 100 50 0 30.0 30.0 53.2 72.7 55.9 52.9 7.3 64.7 74.9 42.4 40.5 60.8",8.3 %,2024,Alias,Gross Domestic Product (gdp) At Market Prices,National Accounts,Gross Domestic Product (gdp) At Market Prices,Gross Domestic Product (gdp) At Market Prices,,,
Gross Domestic Product (gdp) At Market Prices,2022,79.8,%,100,"POPULATION:  11.9 million GDP (PPP):  $154.3 billion 2.5% growth in 2022 5-year average growth  rate: 0.5% $12,723 per capita UNEMPLOYMENT:  16.8% INFLATION (CPI):  8.3% FDI INFLOW:  $713.0 million PUBLIC DEBT:  79.8% of GDP 365 The Heritage Foundation | heritage.org/Index RULE OF LAW REGULATORY EFFICIENCY Property  Rights Judicial  Eﬀectiveness Government  Integrity Tax Burden Government  Spending Fiscal Health GOVERNMENT SIZE OPEN MARKETS Business  Freedom Labor Freedom Monetary  Freedom Trade Freedom Investment  Freedom Financial  Freedom 80 60 70 100 50 0 80 60 70 100 50 0 80 60 70 100 50 0 80 60 70 100 50 0 30.0 30.0 53.2 72.7 55.9 52.9 7.3 64.7 74.9 42.4 40.5 60.8",79.8 %,2024,Alias,Gross Domestic Product (gdp) At Market Prices,National Accounts,Gross Domestic Product (gdp) At Market Prices,Gross Domestic Product (gdp) At Market Prices,,,
Population,2022,154.3,,85,"POPULATION:  11.9 million GDP (PPP):  $154.3 billion 2.5% growth in 2022 5-year average growth  rate: 0.5% $12,723 per capita UNEMPLOYMENT:  16.8% INFLATION (CPI):  8.3% FDI INFLOW:  $713.0 million PUBLIC DEBT:  79.8% of GDP 365 The Heritage Foundation | heritage.org/Index RULE OF LAW REGULATORY EFFICIENCY Property  Rights Judicial  Eﬀectiveness Government  Integrity Tax Burden Government  Spending Fiscal Health GOVERNMENT SIZE OPEN MARKETS Business  Freedom Labor Freedom Monetary  Freedom Trade Freedom Investment  Freedom Financial  Freedom 80 60 70 100 50 0 80 60 70 100 50 0 80 60 70 100 50 0 80 60 70 100 50 0 30.0 30.0 53.2 72.7 55.9 52.9 7.3 64.7 74.9 42.4 40.5 60.8",154,2024,Alias,Population,Demographics,Population,Population,,,
Inflation,2022,5.0,,70,"UNEMPLOYMENT:
11.9 million 16.8%
GDP (PPP): INFLATION (CPI):
$154.3 billion 8.3%
2.5% growth in 2022
5-year average growth FDI INFLOW:
$713.0 million
rate: 0.5%
$12,723 per capita PUBLIC DEBT:
79.8% of GDP
2022 data unless otherwise noted.",5,2024,Alias,Inflation,Prices,Inflation,Inflation,,,
Public Debt (% Of Gdp),2022,16.8,%,100,"UNEMPLOYMENT:
11.9 million 16.8%
GDP (PPP): INFLATION (CPI):
$154.3 billion 8.3%
2.5% growth in 2022
5-year average growth FDI INFLOW:
$713.0 million
rate: 0.5%
$12,723 per capita PUBLIC DEBT:
79.8% of GDP
2022 data unless otherwise noted.",16.8 %,2024,Alias,Public Debt (% Of Gdp),National Accounts,Public Debt (% Of Gdp),Public Debt (% Of Gdp),,,
Unemployment Rate,2022,8.3,%,100,"UNEMPLOYMENT:
11.9 million 16.8%
GDP (PPP): INFLATION (CPI):
$154.3 billion 8.3%
2.5% growth in 2022
5-year average growth FDI INFLOW:
$713.0 million
rate: 0.5%
$12,723 per capita PUBLIC DEBT:
79.8% of GDP
2022 data unless otherwise noted.",8.3 %,2024,Alias,Unemployment Rate,Employment,Unemployment Rate,Unemployment Rate,,,
Inflation,2022,11.9,,85,"UNEMPLOYMENT:
11.9 million 16.8%
GDP (PPP): INFLATION (CPI):
$154.3 billion 8.3%
2.5% growth in 2022
5-year average growth FDI INFLOW:
$713.0 million
rate: 0.5%
$12,723 per capita PUBLIC DEBT:
79.8% of GDP
2022 data unless otherwise noted.",12,2024,Alias,Inflation,Prices,Inflation,Inflation,,,
Unemployment Rate,2022,2.5,%,100,"UNEMPLOYMENT:
11.9 million 16.8%
GDP (PPP): INFLATION (CPI):
$154.3 billion 8.3%
2.5% growth in 2022
5-year average growth FDI INFLOW:
$713.0 million
rate: 0.5%
$12,723 per capita PUBLIC DEBT:
79.8% of GDP
2022 data unless otherwise noted.",2.5 %,2024,Alias,Unemployment Rate,Employment,Unemployment Rate,Unemployment Rate,,,
Gross Domestic Product (gdp) At Market Prices,2022,0.5,%,100,"UNEMPLOYMENT:
11.9 million 16.8%
GDP (PPP): INFLATION (CPI):
$154.3 billion 8.3%
2.5% growth in 2022
5-year average growth FDI INFLOW:
$713.0 million
rate: 0.5%
$12,723 per capita PUBLIC DEBT:
79.8% of GDP
2022 data unless otherwise noted.",0.5 %,2024,Alias,Gross Domestic Product (gdp) At Market Prices,National Accounts,Gross Domestic Product (gdp) At Market Prices,Gross Domestic Product (gdp) At Market Prices,,,
Unemployment Rate,2022,12.0,%,100,"Targeting vocational training to vulnerable workers: experience from several countries  52 6  ECO/WKP(2022)28  IMPROVING SKILLS AND EMPLOYMENT OPPORTUNITIES IN TUNISIA  Unclassified  By Robert Grundke and Steven Cassimon, OECD1  The different dimensions of labour market mismatch in Tunisia  For decades, high unemployment has been a characteristic of the Tunisian economy, with unemployment  rates hovering above 12% since the 1990s (Figure 1).",12.0 %,51e7a341-en.pdf,Alias,Unemployment Rate,Employment,Unemployment Rate,Unemployment Rate,,,
Unemployment Rate,2013,25.0,%,100,"The youth  unemployment rate rose from 25% in the 1990s to 35% in the early 2010s (ONEQ, 2013[2]).",25.0 %,51e7a341-en.pdf,Alias,Unemployment Rate,Employment,Unemployment Rate,Unemployment Rate,,,
